,gameTime,label,position,team,visibility,url_local
0,1 - 00:00,PASS,680,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
1,1 - 00:02,DRIVE,2400,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
2,1 - 00:04,HIGH PASS,4080,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
3,1 - 00:07,HEADER,7200,home,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
4,1 - 00:08,HEADER,8920,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
5,1 - 00:10,PASS,10160,home,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
6,1 - 00:12,PASS,12600,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
7,1 - 00:15,PASS,15840,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
8,1 - 00:18,DRIVE,18800,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
9,1 - 00:21,PASS,21320,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
10,1 - 00:22,PASS,22640,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
11,1 - 00:23,PASS,23840,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
12,1 - 00:25,DRIVE,25280,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
13,1 - 00:26,PASS,26440,home,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
14,1 - 00:26,PASS,26520,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
15,1 - 00:29,CROSS,29920,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
16,1 - 00:32,HEADER,32040,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
17,1 - 00:33,PASS,33280,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
18,1 - 00:34,DRIVE,34160,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
19,1 - 00:34,SHOT,34520,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
20,1 - 00:34,BALL PLAYER BLOCK,34840,home,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
21,1 - 00:36,OUT,36400,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
22,1 - 01:02,CROSS,62280,away,visible,england_efl/2019-2020/2019-10-01 - Blackburn Rovers - Nottingham Forest
