,Unnamed: 0,gameTime,label,position,team,visibility,url_local
82,82,1 - 01:07,BALL PLAYER BLOCK,67280,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
204,204,1 - 02:46,CROSS,166520,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
232,232,1 - 03:18,BALL PLAYER BLOCK,198800,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
458,458,1 - 06:58,BALL PLAYER BLOCK,418320,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
459,459,1 - 06:58,SHOT,418080,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
491,491,1 - 07:28,CROSS,448640,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
519,519,1 - 07:53,SHOT,473640,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
522,522,1 - 07:54,BALL PLAYER BLOCK,474000,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
627,627,1 - 09:52,SHOT,592680,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
629,629,1 - 09:53,BALL PLAYER BLOCK,593320,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
766,766,1 - 12:06,PLAYER SUCCESSFUL TACKLE,726800,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
905,905,1 - 14:33,PLAYER SUCCESSFUL TACKLE,873320,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
949,949,1 - 15:06,PLAYER SUCCESSFUL TACKLE,906640,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1062,1062,1 - 17:48,PLAYER SUCCESSFUL TACKLE,1068760,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1115,1115,1 - 18:36,BALL PLAYER BLOCK,1116600,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1116,1116,1 - 18:36,CROSS,1116360,away,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
1193,1193,1 - 19:44,PLAYER SUCCESSFUL TACKLE,1184040,home,visible,england_efl/2019-2020/2019-10-01 - Middlesbrough - Preston North End
